reviewer_id,reviewer_name,platform,review_text,rating,review_date,account_age_days,total_reviews,verified_purchase,review_length_words,all_caps_ratio,exclamation_count,repeated_phrases,same_day_reviews,avg_rating_given,profile_photo,classification
R001,InfluencerLife95,MakeMyTrip,Received complimentary sample. Results seem positive after short-term use.,4,2024-08-04,845,477,No,9,0.027,0,1,2,4.3,Yes,Suspicious
R002,InfluencerLife45,Trustpilot,Brand collaboration. Love supporting small businesses. Quality feels authentic.,4,2024-10-13,698,312,No,9,0.038,0,1,1,4.3,Yes,Suspicious
R003,BestBuyer2024161,Zomato,Great great great great great great great great quality!,5,2024-12-27,3,31,No,9,0.018,1,1,23,4.6,No,Fake
R004,InfluencerLife9,Zomato,"I review products professionally. Solid build, average performance. 6/10.",5,2024-11-06,522,88,Yes,9,0.027,0,1,2,4.7,No,Suspicious
R005,Neha Gupta,Nykaa,Good product overall. Setup instructions could be clearer. Performance is satisfactory.,3,2024-10-04,750,41,Yes,11,0.034,0,0,0,2.9,Yes,Genuine
R006,TruthTeller906,MakeMyTrip,Best product on the market! Everyone should buy this immediately!,5,2024-03-12,4,62,No,10,0.031,2,1,52,4.7,No,Fake
R007,Amit Kumar,Google Play,Good value for money. Works as described. Minor scratches on arrival but functional.,5,2024-08-19,1929,34,Yes,13,0.036,0,0,1,3.8,Yes,Genuine
R008,Ravi Shankar,Swiggy,Taste was authentic but service was slow during lunch hours. Reasonable pricing.,5,2024-02-08,1004,49,Yes,12,0.025,0,0,1,3.2,Yes,Genuine
R009,Deepa Nair,Trustpilot,Service was okay. Food arrived slightly late but taste was good. Will order again.,3,2024-03-11,439,16,Yes,14,0.037,0,0,0,3.5,Yes,Genuine
R010,Rekha Singh,Swiggy,Nice ambience but portions are small for the price. Desserts were excellent though.,5,2024-11-11,1614,55,Yes,13,0.024,0,0,0,3.3,Yes,Genuine
R011,PaidReviewer6,Amazon,Gifted for review. Aesthetics are great. Long-term durability remains to be seen.,4,2024-07-11,1367,404,No,12,0.037,0,1,1,4.7,Yes,Suspicious
R012,AmazingUser250,Yelp,great product great price great delivery great service great everything,5,2024-09-18,2,232,No,10,0.0,0,1,64,4.7,Yes,Fake
R013,Rekha Singh,Trustpilot,Nice ambience but portions are small for the price. Desserts were excellent though.,5,2024-10-14,1531,16,Yes,13,0.024,0,0,1,3.8,No,Genuine
R014,Sneha Iyer,Nykaa,Taste was authentic but service was slow during lunch hours. Reasonable pricing.,3,2024-06-15,1015,25,Yes,12,0.025,0,0,1,4.2,No,Genuine
R015,SuperShopper281,Amazon,Amazing product! Best purchase ever! Highly recommend to everyone!!!,5,2024-08-28,12,94,No,9,0.044,5,1,21,4.9,No,Fake
R016,Sneha Iyer,Tripadvisor,Received a damaged item. Replacement was sent within 3 days. Satisfied with resolution.,5,2024-11-04,1497,50,Yes,13,0.034,0,0,1,3.9,Yes,Genuine
R017,AlwaysHappy416,MakeMyTrip,Top quality! Top service! Top price! Top delivery! Top everything!,1,2024-04-19,5,137,No,10,0.076,5,1,90,1.2,No,Fake
R018,Arun Verma,Zomato,Booked this for a weekend trip. Location was convenient but WiFi was unreliable.,4,2024-11-25,1327,35,Yes,13,0.05,0,0,1,3.3,Yes,Genuine
R019,SponsoredOpinion72,Yelp,"I review products professionally. Solid build, average performance. 6/10.",4,2024-11-18,606,322,No,9,0.027,0,0,1,4.3,No,Suspicious
R020,LegitReviewer746,Trustpilot,Never used anything better in my entire life! This is truly magical!,5,2024-02-08,4,128,No,12,0.029,2,1,62,4.6,No,Fake
R021,Kavya Reddy,Yelp,Service was okay. Food arrived slightly late but taste was good. Will order again.,1,2024-07-30,924,40,Yes,14,0.037,0,0,1,4.0,Yes,Genuine
R022,SuperShopper956,Trustpilot,WOW WOW WOW! Just WOW! Cannot believe how good this is!!!,1,2024-11-30,4,219,No,11,0.246,5,1,147,1.4,No,Fake
R023,BrandAmbassador15,Flipkart,Affiliate link in bio. Genuinely use this product. Discount code: SAVE15,5,2024-10-19,389,146,Yes,11,0.097,0,0,0,4.6,Yes,Suspicious
R024,Sunita Rao,Flipkart,Received a damaged item. Replacement was sent within 3 days. Satisfied with resolution.,5,2024-04-12,1784,59,Yes,13,0.034,0,0,0,3.6,Yes,Genuine
R025,ShopperPro191,Snapdeal,My friend told me this is the best product ever so I bought it too!,5,2024-06-20,15,178,No,15,0.03,1,0,153,4.8,No,Fake
R026,ContentCreator85,Nykaa,Affiliate link in bio. Genuinely use this product. Discount code: SAVE15,5,2024-12-01,824,105,Yes,11,0.097,0,1,0,4.2,No,Suspicious
R027,AlwaysHappy881,Tripadvisor,Changed my life! Cannot imagine living without this! Perfect in every way!,5,2024-12-04,10,60,No,12,0.041,3,1,56,4.6,No,Fake
R028,TopTester63,Google Maps,Affiliate link in bio. Genuinely use this product. Discount code: SAVE15,4,2024-09-14,754,464,No,11,0.097,0,0,1,4.6,Yes,Suspicious
R029,PRInfluencer25,Flipkart,*Sponsored* Tested this product for 2 weeks. Performance is satisfactory overall.,4,2024-02-10,846,390,No,11,0.037,0,0,0,4.4,Yes,Suspicious
R030,Ananya Bose,Justdial,Taste was authentic but service was slow during lunch hours. Reasonable pricing.,4,2024-02-17,576,38,Yes,12,0.025,0,0,0,3.4,Yes,Genuine
R031,BrandAmbassador3,Justdial,Brand collaboration. Love supporting small businesses. Quality feels authentic.,5,2024-03-11,1347,364,No,9,0.038,0,1,0,4.2,Yes,Suspicious
R032,RealUser99465,Trustpilot,Great great great great great great great great quality!,5,2024-11-12,12,196,No,9,0.018,1,1,29,4.9,Yes,Fake
R033,Priya Sharma,Snapdeal,Taste was authentic but service was slow during lunch hours. Reasonable pricing.,5,2024-12-21,1287,17,Yes,12,0.025,0,0,0,3.7,Yes,Genuine
R034,BestBuyer2024745,Yelp,ABSOLUTELY LOVE IT!!! BEST PRODUCT EVER!! MUST BUY!!,5,2024-08-16,14,122,No,8,0.731,7,1,18,4.7,No,Fake
R035,BestBuyer2024527,Zomato,Wonderful! Fantastic! Superb! Excellent! Brilliant! Marvelous!,5,2024-07-27,4,97,No,6,0.097,6,1,81,4.7,No,Fake
R036,InfluencerLife74,MakeMyTrip,As an influencer I get asked what I use daily. This is genuinely my favorite!,4,2024-10-07,893,482,Yes,15,0.052,1,0,0,4.6,Yes,Suspicious
R037,SmartBuyer75,Amazon,Changed my life! Cannot imagine living without this! Perfect in every way!,5,2024-03-10,2,60,No,12,0.041,3,0,38,4.5,No,Fake
R038,Meena Joshi,Yelp,Visited in the morning to avoid crowds. Guide was informative but spoke too fast.,3,2024-03-12,1501,39,Yes,14,0.025,0,0,0,3.6,Yes,Genuine
R039,BestBuyer2024338,Flipkart,DO NOT HESITATE!! BUY NOW!! YOU WILL LOVE IT!! AMAZING!!,5,2024-03-13,5,159,No,10,0.696,8,1,46,4.7,No,Fake
R040,GreatProduct22886,Yelp,WOW WOW WOW! Just WOW! Cannot believe how good this is!!!,1,2024-10-11,7,31,No,11,0.246,5,1,22,1.1,No,Fake
R041,Rekha Singh,Nykaa,Product quality is decent but packaging could be better. Delivered on time.,1,2024-04-27,903,57,Yes,12,0.027,0,0,1,3.8,Yes,Genuine
R042,GreatProduct22373,Yelp,ABSOLUTELY LOVE IT!!! BEST PRODUCT EVER!! MUST BUY!!,5,2024-06-07,15,199,No,8,0.731,7,1,39,4.9,No,Fake
R043,ShopperPro159,Zomato,Wonderful! Fantastic! Superb! Excellent! Brilliant! Marvelous!,5,2024-09-28,1,61,No,6,0.097,6,0,45,4.7,No,Fake
R044,Nandita Roy,Flipkart,Product works well for basic use. Not suitable for heavy-duty tasks as I hoped.,2,2024-03-02,1499,42,Yes,14,0.038,0,0,0,3.5,Yes,Genuine
R045,ValueKing282,Google Maps,Excellent excellent excellent. Best best best. Buy buy buy.,5,2024-11-05,9,77,No,9,0.051,0,0,27,4.6,No,Fake
R046,AmazingUser463,MakeMyTrip,Five stars! Perfect! Love it! Amazing! Outstanding! Best ever!,5,2024-07-24,1,296,No,9,0.097,6,1,23,4.5,No,Fake
R047,HappyCustomer123676,Zomato,Changed my life! Cannot imagine living without this! Perfect in every way!,5,2024-10-01,14,65,No,12,0.041,3,1,49,4.8,No,Fake
R048,ReviewKing713,Tripadvisor,My friend told me this is the best product ever so I bought it too!,5,2024-06-06,15,152,No,15,0.03,1,1,105,4.7,No,Fake
R049,Divya Pillai,Snapdeal,Service was okay. Food arrived slightly late but taste was good. Will order again.,5,2024-10-22,260,26,Yes,14,0.037,0,0,1,3.5,Yes,Genuine
R050,AlwaysHappy125,Tripadvisor,Excellent excellent excellent. Best best best. Buy buy buy.,5,2024-12-31,15,232,No,9,0.051,0,1,213,4.6,Yes,Fake
R051,Mohit Khanna,Flipkart,Fabric quality is good but sizing runs small. Order one size up.,3,2024-03-26,421,51,Yes,12,0.031,0,0,1,3.4,Yes,Genuine
R052,SuperShopper981,Amazon,100% recommend! Zero complaints! Perfect product! Perfect service!,1,2024-08-12,15,205,No,8,0.045,4,0,173,1.1,No,Fake
R053,DealHunter96,Airbnb,Excellent excellent excellent. Best best best. Buy buy buy.,5,2024-04-08,6,39,No,9,0.051,0,0,21,4.7,No,Fake
R054,Sanjay Das,Nykaa,Booked this for a weekend trip. Location was convenient but WiFi was unreliable.,3,2024-04-07,1057,30,Yes,13,0.05,0,0,0,3.6,No,Genuine
R055,TopTester34,MakeMyTrip,Gifted for review. Aesthetics are great. Long-term durability remains to be seen.,5,2024-05-02,1336,274,No,12,0.037,0,1,2,4.9,Yes,Suspicious
R056,LegitReviewer383,Swiggy,My friend told me this is the best product ever so I bought it too!,1,2024-06-19,13,64,No,15,0.03,1,1,48,1.1,No,Fake
R057,Tanvi Joshi,Snapdeal,Ordered this last month. Build quality is solid but battery life is average.,4,2024-07-16,901,16,Yes,13,0.026,0,0,1,4.1,Yes,Genuine
R058,TechReviewer9935,Yelp,Received complimentary sample. Results seem positive after short-term use.,5,2024-06-15,715,467,Yes,9,0.027,0,0,1,4.9,Yes,Suspicious
R059,Mohit Khanna,Flipkart,Ordered this last month. Build quality is solid but battery life is average.,3,2024-02-24,978,50,Yes,13,0.026,0,0,0,3.8,Yes,Genuine
R060,SuperShopper46,Trustpilot,DO NOT HESITATE!! BUY NOW!! YOU WILL LOVE IT!! AMAZING!!,5,2024-03-10,11,119,No,10,0.696,8,1,97,4.7,Yes,Fake
R061,Vikram Singh,Yelp,Plumber came on time. Fixed the issue properly. Charged as quoted. Recommended.,4,2024-05-07,859,37,No,12,0.051,0,0,1,4.2,No,Genuine
R062,LegitReviewer885,Tripadvisor,Changed my life! Cannot imagine living without this! Perfect in every way!,5,2024-09-12,14,111,No,12,0.041,3,1,100,4.7,No,Fake
R063,TruthTeller697,Tripadvisor,ABSOLUTELY LOVE IT!!! BEST PRODUCT EVER!! MUST BUY!!,1,2024-04-11,2,231,No,8,0.731,7,1,150,1.5,No,Fake
R064,Gopal Tiwari,Zomato,Good product overall. Setup instructions could be clearer. Performance is satisfactory.,4,2024-09-30,1123,45,Yes,11,0.034,0,0,1,2.8,No,Genuine
R065,ReviewKing181,Justdial,My friend told me this is the best product ever so I bought it too!,5,2024-10-13,1,157,No,15,0.03,1,0,42,4.9,No,Fake
R066,BestBuyer2024549,BookMyShow,Top quality! Top service! Top price! Top delivery! Top everything!,5,2024-12-09,5,223,No,10,0.076,5,1,26,4.6,No,Fake
R067,LovingIt99416,Airbnb,DO NOT HESITATE!! BUY NOW!! YOU WILL LOVE IT!! AMAZING!!,5,2024-03-09,15,189,No,10,0.696,8,1,83,4.7,No,Fake
R068,ReviewKing129,Justdial,great product great price great delivery great service great everything,5,2024-11-01,14,136,No,10,0.0,0,1,67,4.7,Yes,Fake
R069,SponsoredOpinion54,BookMyShow,Gifted for review. Aesthetics are great. Long-term durability remains to be seen.,5,2024-05-18,1120,223,No,12,0.037,0,1,2,4.7,No,Suspicious
R070,ShopperPro836,Amazon,Best product on the market! Everyone should buy this immediately!,5,2024-11-01,2,243,No,10,0.031,2,1,193,4.9,No,Fake
R071,Nandita Roy,Airbnb,Decent restaurant. Paneer dishes were flavorful. Naan was a bit oily.,5,2024-12-22,1720,46,Yes,11,0.043,0,0,0,3.5,No,Genuine
R072,NotABot123136,MakeMyTrip,Changed my life! Cannot imagine living without this! Perfect in every way!,5,2024-04-21,1,266,No,12,0.041,3,1,19,4.7,No,Fake
R073,TopReviewer99657,Nykaa,Top quality! Top service! Top price! Top delivery! Top everything!,5,2024-05-19,15,82,No,10,0.076,5,1,23,4.6,No,Fake
R074,Neha Gupta,Swiggy,Received a damaged item. Replacement was sent within 3 days. Satisfied with resolution.,3,2024-01-21,445,10,Yes,13,0.034,0,0,1,4.0,No,Genuine
R075,Neha Gupta,BookMyShow,Second order from this seller. Consistent quality. Delivery was faster this time.,4,2024-07-02,891,32,No,12,0.037,0,0,0,3.3,No,Genuine
R076,Sunita Rao,Google Play,Movie was okay. First half was slow. Second half had good twists. One-time watch.,4,2024-01-09,1318,48,Yes,14,0.049,0,0,1,4.1,No,Genuine
R077,Harsha Bhat,Yelp,Visited in the morning to avoid crowds. Guide was informative but spoke too fast.,5,2024-09-18,368,45,Yes,14,0.025,0,0,0,3.2,Yes,Genuine
R078,Ananya Bose,Zomato,Fabric quality is good but sizing runs small. Order one size up.,3,2024-08-25,1984,24,Yes,12,0.031,0,0,1,3.3,Yes,Genuine
R079,Sanjay Das,Google Maps,Phone camera is great in daylight but struggles at night. Battery lasts a full day.,4,2024-01-03,1085,30,Yes,15,0.024,0,0,0,3.4,Yes,Genuine
R080,SmartBuyer332,Amazon,Great great great great great great great great quality!,5,2024-10-30,3,245,No,9,0.018,1,1,129,4.7,No,Fake
R081,Amit Kumar,Zomato,Hotel room was clean. AC worked fine. Breakfast had limited vegetarian options.,4,2024-11-28,878,28,Yes,12,0.051,0,0,1,4.2,No,Genuine
R082,BrandAmbassador56,Yelp,As an influencer I get asked what I use daily. This is genuinely my favorite!,5,2024-01-28,764,462,No,15,0.052,1,1,0,4.7,Yes,Suspicious
R083,NotABot123278,Swiggy,Wonderful! Fantastic! Superb! Excellent! Brilliant! Marvelous!,5,2024-09-04,12,128,No,6,0.097,6,1,105,4.8,Yes,Fake
R084,AmazingUser301,Yelp,Great great great great great great great great quality!,5,2024-06-01,12,164,No,9,0.018,1,1,137,5.0,No,Fake
R085,Tanvi Joshi,Yelp,Nice ambience but portions are small for the price. Desserts were excellent though.,4,2024-05-01,1594,49,Yes,13,0.024,0,0,1,4.0,Yes,Genuine
R086,Ananya Bose,Yelp,Decent restaurant. Paneer dishes were flavorful. Naan was a bit oily.,4,2024-12-24,867,59,Yes,11,0.043,0,0,1,4.1,Yes,Genuine
R087,Sneha Iyer,Google Maps,Movie was okay. First half was slow. Second half had good twists. One-time watch.,2,2024-04-16,416,15,Yes,14,0.049,0,0,1,3.4,Yes,Genuine
R088,BuyThis202474,Yelp,Top quality! Top service! Top price! Top delivery! Top everything!,5,2024-12-29,7,39,No,10,0.076,5,0,28,4.8,No,Fake
R089,NotABot123426,Amazon,Five stars! Perfect! Love it! Amazing! Outstanding! Best ever!,5,2024-06-01,7,40,No,9,0.097,6,1,32,4.7,No,Fake
R090,Rahul Verma,Justdial,Product quality is decent but packaging could be better. Delivered on time.,4,2024-07-10,1925,45,Yes,12,0.027,0,0,0,2.8,Yes,Genuine
R091,BrandAmbassador45,Zomato,Gifted for review. Aesthetics are great. Long-term durability remains to be seen.,5,2024-11-15,349,474,Yes,12,0.037,0,1,2,4.9,No,Suspicious
R092,TrustMe123714,Yelp,Changed my life! Cannot imagine living without this! Perfect in every way!,1,2024-03-14,7,124,No,12,0.041,3,1,116,1.1,No,Fake
R093,ReviewKing652,Zomato,great product great price great delivery great service great everything,5,2024-01-18,13,100,No,10,0.0,0,1,90,4.5,No,Fake
R094,TopTester68,Amazon,Gifted for review. Aesthetics are great. Long-term durability remains to be seen.,5,2024-08-16,606,247,No,12,0.037,0,0,0,4.7,No,Suspicious
R095,Vikram Singh,Yelp,Product stopped working after 2 months. Customer support was responsive and helpful.,4,2024-11-09,1559,48,Yes,12,0.024,0,0,0,4.0,Yes,Genuine
R096,BrandAmbassador14,Amazon,Brand collaboration. Love supporting small businesses. Quality feels authentic.,5,2024-11-01,1091,198,No,9,0.038,0,1,2,4.3,Yes,Suspicious
R097,Sneha Iyer,Justdial,Hotel room was clean. AC worked fine. Breakfast had limited vegetarian options.,3,2024-01-21,563,48,Yes,12,0.051,0,0,0,3.8,Yes,Genuine
R098,Suresh Nair,Amazon,Product quality is decent but packaging could be better. Delivered on time.,5,2024-02-18,369,36,Yes,12,0.027,0,0,1,3.6,No,Genuine
R099,HappyCustomer123637,Google Maps,Five stars! Perfect! Love it! Amazing! Outstanding! Best ever!,1,2024-11-06,11,88,No,9,0.097,6,1,40,1.4,Yes,Fake
R100,NotABot123725,Google Maps,Changed my life! Cannot imagine living without this! Perfect in every way!,5,2024-10-30,9,168,No,12,0.041,3,1,131,4.7,No,Fake
R101,RealUser99633,Airbnb,Amazing product! Best purchase ever! Highly recommend to everyone!!!,5,2024-06-01,11,178,No,9,0.044,5,1,70,4.9,No,Fake
R102,ValueKing739,Google Play,Five stars! Perfect! Love it! Amazing! Outstanding! Best ever!,5,2024-08-06,15,146,No,9,0.097,6,1,110,4.7,Yes,Fake
R103,BrandAmbassador58,Nykaa,"I review products professionally. Solid build, average performance. 6/10.",4,2024-04-19,370,225,No,9,0.027,0,1,1,4.2,No,Suspicious
R104,LovingIt99272,MakeMyTrip,Top quality! Top service! Top price! Top delivery! Top everything!,5,2024-09-21,4,132,No,10,0.076,5,1,93,4.8,No,Fake
R105,TrustMe123360,Amazon,Great great great great great great great great quality!,5,2024-07-11,10,235,Yes,9,0.018,1,1,15,4.5,No,Fake
R106,AffiliatePro97,Swiggy,Affiliate link in bio. Genuinely use this product. Discount code: SAVE15,5,2024-05-10,589,435,No,11,0.097,0,0,2,4.9,Yes,Suspicious
R107,Rohit Sharma,Trustpilot,Fabric quality is good but sizing runs small. Order one size up.,3,2024-03-24,729,52,Yes,12,0.031,0,0,0,3.2,Yes,Genuine
R108,Lalita Devi,Google Maps,Phone camera is great in daylight but struggles at night. Battery lasts a full day.,5,2024-06-12,1956,7,Yes,15,0.024,0,0,1,3.1,Yes,Genuine
R109,Bharat Jain,Airbnb,Service was okay. Food arrived slightly late but taste was good. Will order again.,2,2024-03-05,1736,55,Yes,14,0.037,0,0,0,4.2,No,Genuine
R110,SponsoredOpinion73,Google Maps,Affiliate link in bio. Genuinely use this product. Discount code: SAVE15,5,2024-08-18,1259,220,No,11,0.097,0,1,2,4.3,Yes,Suspicious
R111,HappyCustomer123507,Google Play,Best product on the market! Everyone should buy this immediately!,5,2024-01-06,4,211,No,10,0.031,2,1,160,4.9,No,Fake
R112,RealUser99114,Justdial,Wonderful! Fantastic! Superb! Excellent! Brilliant! Marvelous!,5,2024-09-12,2,54,No,6,0.097,6,1,47,4.7,Yes,Fake
R113,BrandAmbassador10,MakeMyTrip,*Sponsored* Tested this product for 2 weeks. Performance is satisfactory overall.,5,2024-09-12,1024,191,No,11,0.037,0,0,2,4.7,No,Suspicious
R114,Sunita Rao,Justdial,Taste was authentic but service was slow during lunch hours. Reasonable pricing.,4,2024-12-21,1081,57,Yes,12,0.025,0,0,0,3.2,Yes,Genuine
R115,SmartBuyer238,MakeMyTrip,My friend told me this is the best product ever so I bought it too!,5,2024-07-22,15,49,No,15,0.03,1,0,19,5.0,Yes,Fake
R116,TruthTeller522,Yelp,DO NOT HESITATE!! BUY NOW!! YOU WILL LOVE IT!! AMAZING!!,1,2024-09-20,1,100,No,10,0.696,8,1,74,1.2,No,Fake
R117,LovingIt9959,MakeMyTrip,ABSOLUTELY LOVE IT!!! BEST PRODUCT EVER!! MUST BUY!!,5,2024-10-23,2,64,No,8,0.731,7,1,15,5.0,No,Fake
R118,AmazingUser392,Google Play,Amazing product! Best purchase ever! Highly recommend to everyone!!!,5,2024-04-24,4,132,No,9,0.044,5,1,47,4.9,No,Fake
R119,ShopperPro260,Amazon,Never used anything better in my entire life! This is truly magical!,5,2024-07-07,5,212,No,12,0.029,2,0,175,4.7,Yes,Fake
R120,Kavya Reddy,Tripadvisor,Product quality is decent but packaging could be better. Delivered on time.,4,2024-07-29,536,33,Yes,12,0.027,0,0,0,3.7,Yes,Genuine
R121,RealUser99703,Flipkart,100% recommend! Zero complaints! Perfect product! Perfect service!,5,2024-11-20,8,67,No,8,0.045,4,1,17,4.5,No,Fake
R122,Manish Gupta,BookMyShow,Product works well for basic use. Not suitable for heavy-duty tasks as I hoped.,4,2024-11-13,600,34,Yes,14,0.038,0,0,1,2.8,Yes,Genuine
R123,TopReviewer99361,MakeMyTrip,ABSOLUTELY LOVE IT!!! BEST PRODUCT EVER!! MUST BUY!!,5,2024-02-16,8,49,Yes,8,0.731,7,1,12,4.8,No,Fake
R124,AffiliatePro96,MakeMyTrip,"I review products professionally. Solid build, average performance. 6/10.",5,2024-04-02,1480,263,No,9,0.027,0,1,1,4.9,Yes,Suspicious
R125,Bharat Jain,Tripadvisor,Service was okay. Food arrived slightly late but taste was good. Will order again.,3,2024-07-15,1242,5,Yes,14,0.037,0,0,0,3.1,Yes,Genuine
